raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2021,"Section 1","Part C","Chemistry"
1,1,NSAA,2021,"Section 1","Part C","Chemistry"
2,1,NSAA,2021,"Section 1","Part C","Chemistry"
3,1,NSAA,2021,"Section 1","Part C","Chemistry"
4,1,NSAA,2021,"Section 1","Part C","Chemistry"
5,1,NSAA,2021,"Section 1","Part C","Chemistry"
6,1,NSAA,2021,"Section 1","Part C","Chemistry"
7,1,NSAA,2021,"Section 1","Part C","Chemistry"
8,1.6,NSAA,2021,"Section 1","Part C","Chemistry"
9,2.1,NSAA,2021,"Section 1","Part C","Chemistry"
10,2.6,NSAA,2021,"Section 1","Part C","Chemistry"
11,3.2,NSAA,2021,"Section 1","Part C","Chemistry"
12,3.7,NSAA,2021,"Section 1","Part C","Chemistry"
13,4.3,NSAA,2021,"Section 1","Part C","Chemistry"
14,4.8,NSAA,2021,"Section 1","Part C","Chemistry"
15,5.5,NSAA,2021,"Section 1","Part C","Chemistry"
16,6.2,NSAA,2021,"Section 1","Part C","Chemistry"
17,7,NSAA,2021,"Section 1","Part C","Chemistry"
18,8.1,NSAA,2021,"Section 1","Part C","Chemistry"
19,9,NSAA,2021,"Section 1","Part C","Chemistry"
20,9,NSAA,2021,"Section 1","Part C","Chemistry"
