raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2022,"Section 2","Part X","Physics"
1,1,NSAA,2022,"Section 2","Part X","Physics"
2,1,NSAA,2022,"Section 2","Part X","Physics"
3,1.1,NSAA,2022,"Section 2","Part X","Physics"
4,1.8,NSAA,2022,"Section 2","Part X","Physics"
5,2.4,NSAA,2022,"Section 2","Part X","Physics"
6,3,NSAA,2022,"Section 2","Part X","Physics"
7,3.5,NSAA,2022,"Section 2","Part X","Physics"
8,4,NSAA,2022,"Section 2","Part X","Physics"
9,4.4,NSAA,2022,"Section 2","Part X","Physics"
10,4.9,NSAA,2022,"Section 2","Part X","Physics"
11,5.4,NSAA,2022,"Section 2","Part X","Physics"
12,5.8,NSAA,2022,"Section 2","Part X","Physics"
13,6.3,NSAA,2022,"Section 2","Part X","Physics"
14,6.8,NSAA,2022,"Section 2","Part X","Physics"
15,7.4,NSAA,2022,"Section 2","Part X","Physics"
16,8,NSAA,2022,"Section 2","Part X","Physics"
17,8.7,NSAA,2022,"Section 2","Part X","Physics"
18,9,NSAA,2022,"Section 2","Part X","Physics"
19,9,NSAA,2022,"Section 2","Part X","Physics"
20,9,NSAA,2022,"Section 2","Part X","Physics"
