raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
1,1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
2,1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
3,1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
4,1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
5,1.4,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
6,2,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
7,2.6,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
8,3.1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
9,3.6,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
10,4.1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
11,4.6,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
12,5.1,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
13,5.7,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
14,6.3,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
15,7,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
16,8,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
17,9,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
18,9,NSAA,2018,"Section 1","Part E","Advanced Maths & Physics"
