raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2020,"Section 1","Part C","Chemistry"
1,1,NSAA,2020,"Section 1","Part C","Chemistry"
2,1,NSAA,2020,"Section 1","Part C","Chemistry"
3,1,NSAA,2020,"Section 1","Part C","Chemistry"
4,1,NSAA,2020,"Section 1","Part C","Chemistry"
5,1.3,NSAA,2020,"Section 1","Part C","Chemistry"
6,2.1,NSAA,2020,"Section 1","Part C","Chemistry"
7,2.7,NSAA,2020,"Section 1","Part C","Chemistry"
8,3.4,NSAA,2020,"Section 1","Part C","Chemistry"
9,4,NSAA,2020,"Section 1","Part C","Chemistry"
10,4.5,NSAA,2020,"Section 1","Part C","Chemistry"
11,5.1,NSAA,2020,"Section 1","Part C","Chemistry"
12,5.7,NSAA,2020,"Section 1","Part C","Chemistry"
13,6.3,NSAA,2020,"Section 1","Part C","Chemistry"
14,6.9,NSAA,2020,"Section 1","Part C","Chemistry"
15,7.6,NSAA,2020,"Section 1","Part C","Chemistry"
16,8.4,NSAA,2020,"Section 1","Part C","Chemistry"
17,9,NSAA,2020,"Section 1","Part C","Chemistry"
18,9,NSAA,2020,"Section 1","Part C","Chemistry"
19,9,NSAA,2020,"Section 1","Part C","Chemistry"
20,9,NSAA,2020,"Section 1","Part C","Chemistry"
