raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2022,"Section 1","Part C","Chemistry"
1,1,NSAA,2022,"Section 1","Part C","Chemistry"
2,1,NSAA,2022,"Section 1","Part C","Chemistry"
3,1,NSAA,2022,"Section 1","Part C","Chemistry"
4,1.5,NSAA,2022,"Section 1","Part C","Chemistry"
5,2,NSAA,2022,"Section 1","Part C","Chemistry"
6,2.5,NSAA,2022,"Section 1","Part C","Chemistry"
7,3,NSAA,2022,"Section 1","Part C","Chemistry"
8,3.5,NSAA,2022,"Section 1","Part C","Chemistry"
9,3.9,NSAA,2022,"Section 1","Part C","Chemistry"
10,4.3,NSAA,2022,"Section 1","Part C","Chemistry"
11,4.7,NSAA,2022,"Section 1","Part C","Chemistry"
12,5.1,NSAA,2022,"Section 1","Part C","Chemistry"
13,5.6,NSAA,2022,"Section 1","Part C","Chemistry"
14,6,NSAA,2022,"Section 1","Part C","Chemistry"
15,6.5,NSAA,2022,"Section 1","Part C","Chemistry"
16,7.1,NSAA,2022,"Section 1","Part C","Chemistry"
17,7.8,NSAA,2022,"Section 1","Part C","Chemistry"
18,8.7,NSAA,2022,"Section 1","Part C","Chemistry"
19,9,NSAA,2022,"Section 1","Part C","Chemistry"
20,9,NSAA,2022,"Section 1","Part C","Chemistry"
