raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2018,"Section 1","Part A","Mathematics"
1,1,NSAA,2018,"Section 1","Part A","Mathematics"
2,1,NSAA,2018,"Section 1","Part A","Mathematics"
3,1.9,NSAA,2018,"Section 1","Part A","Mathematics"
4,2.5,NSAA,2018,"Section 1","Part A","Mathematics"
5,3.1,NSAA,2018,"Section 1","Part A","Mathematics"
6,3.6,NSAA,2018,"Section 1","Part A","Mathematics"
7,4,NSAA,2018,"Section 1","Part A","Mathematics"
8,4.4,NSAA,2018,"Section 1","Part A","Mathematics"
9,4.8,NSAA,2018,"Section 1","Part A","Mathematics"
10,5.2,NSAA,2018,"Section 1","Part A","Mathematics"
11,5.6,NSAA,2018,"Section 1","Part A","Mathematics"
12,6,NSAA,2018,"Section 1","Part A","Mathematics"
13,6.5,NSAA,2018,"Section 1","Part A","Mathematics"
14,7,NSAA,2018,"Section 1","Part A","Mathematics"
15,7.6,NSAA,2018,"Section 1","Part A","Mathematics"
16,8.4,NSAA,2018,"Section 1","Part A","Mathematics"
17,9,NSAA,2018,"Section 1","Part A","Mathematics"
18,9,NSAA,2018,"Section 1","Part A","Mathematics"
