raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
1,1,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
2,1,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
3,1,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
4,1.1,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
5,1.9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
6,2.6,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
7,3.2,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
8,3.8,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
9,4.3,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
10,4.9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
11,5.4,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
12,5.9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
13,6.5,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
14,7,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
15,7.6,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
16,8.3,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
17,9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
18,9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
19,9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
20,9,ENGAA,2020,"Section 1","Section 1A","Maths & Physics"
