raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
1,1,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
2,1,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
3,1.3,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
4,2,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
5,2.6,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
6,3.1,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
7,3.6,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
8,4.1,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
9,4.5,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
10,4.9,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
11,5.3,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
12,5.8,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
13,6.2,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
14,6.7,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
15,7.2,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
16,7.7,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
17,8.4,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
18,9,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
19,9,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
20,9,ENGAA,2023,"Section 2","Section 2","Maths & Physics (advanced)"
