raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2017,"Section 1","Part D","Biology"
1,1,NSAA,2017,"Section 1","Part D","Biology"
2,1,NSAA,2017,"Section 1","Part D","Biology"
3,1,NSAA,2017,"Section 1","Part D","Biology"
4,1,NSAA,2017,"Section 1","Part D","Biology"
5,1,NSAA,2017,"Section 1","Part D","Biology"
6,1.3,NSAA,2017,"Section 1","Part D","Biology"
7,1.9,NSAA,2017,"Section 1","Part D","Biology"
8,2.5,NSAA,2017,"Section 1","Part D","Biology"
9,3.1,NSAA,2017,"Section 1","Part D","Biology"
10,3.6,NSAA,2017,"Section 1","Part D","Biology"
11,4.2,NSAA,2017,"Section 1","Part D","Biology"
12,4.8,NSAA,2017,"Section 1","Part D","Biology"
13,5.5,NSAA,2017,"Section 1","Part D","Biology"
14,6.2,NSAA,2017,"Section 1","Part D","Biology"
15,7.1,NSAA,2017,"Section 1","Part D","Biology"
16,8.1,NSAA,2017,"Section 1","Part D","Biology"
17,9,NSAA,2017,"Section 1","Part D","Biology"
18,9,NSAA,2017,"Section 1","Part D","Biology"
