raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2023,"Section 1","Part D","Biology"
1,1,NSAA,2023,"Section 1","Part D","Biology"
2,1,NSAA,2023,"Section 1","Part D","Biology"
3,1,NSAA,2023,"Section 1","Part D","Biology"
4,1,NSAA,2023,"Section 1","Part D","Biology"
5,1.2,NSAA,2023,"Section 1","Part D","Biology"
6,2.1,NSAA,2023,"Section 1","Part D","Biology"
7,2.9,NSAA,2023,"Section 1","Part D","Biology"
8,3.6,NSAA,2023,"Section 1","Part D","Biology"
9,4.3,NSAA,2023,"Section 1","Part D","Biology"
10,5,NSAA,2023,"Section 1","Part D","Biology"
11,5.6,NSAA,2023,"Section 1","Part D","Biology"
12,6.3,NSAA,2023,"Section 1","Part D","Biology"
13,6.9,NSAA,2023,"Section 1","Part D","Biology"
14,7.6,NSAA,2023,"Section 1","Part D","Biology"
15,8.4,NSAA,2023,"Section 1","Part D","Biology"
16,9,NSAA,2023,"Section 1","Part D","Biology"
17,9,NSAA,2023,"Section 1","Part D","Biology"
18,9,NSAA,2023,"Section 1","Part D","Biology"
19,9,NSAA,2023,"Section 1","Part D","Biology"
20,9,NSAA,2023,"Section 1","Part D","Biology"
