raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2019,"Section 1","Part C","Chemistry"
1,1,NSAA,2019,"Section 1","Part C","Chemistry"
2,1,NSAA,2019,"Section 1","Part C","Chemistry"
3,1,NSAA,2019,"Section 1","Part C","Chemistry"
4,1.4,NSAA,2019,"Section 1","Part C","Chemistry"
5,2.1,NSAA,2019,"Section 1","Part C","Chemistry"
6,2.8,NSAA,2019,"Section 1","Part C","Chemistry"
7,3.4,NSAA,2019,"Section 1","Part C","Chemistry"
8,3.9,NSAA,2019,"Section 1","Part C","Chemistry"
9,4.5,NSAA,2019,"Section 1","Part C","Chemistry"
10,5.1,NSAA,2019,"Section 1","Part C","Chemistry"
11,5.7,NSAA,2019,"Section 1","Part C","Chemistry"
12,6.3,NSAA,2019,"Section 1","Part C","Chemistry"
13,7,NSAA,2019,"Section 1","Part C","Chemistry"
14,7.8,NSAA,2019,"Section 1","Part C","Chemistry"
15,8.6,NSAA,2019,"Section 1","Part C","Chemistry"
16,9,NSAA,2019,"Section 1","Part C","Chemistry"
17,9,NSAA,2019,"Section 1","Part C","Chemistry"
18,9,NSAA,2019,"Section 1","Part C","Chemistry"
