raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
1,1,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
2,1,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
3,1,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
4,1.5,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
5,2.2,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
6,2.9,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
7,3.4,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
8,4,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
9,4.5,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
10,5.1,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
11,5.6,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
12,6.2,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
13,6.8,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
14,7.5,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
15,8.3,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
16,9,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
17,9,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
18,9,NSAA,2019,"Section 1","Part E","Advanced Maths & Physics"
