raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2020,"Section 2","Part X","Physics"
1,1,NSAA,2020,"Section 2","Part X","Physics"
2,1,NSAA,2020,"Section 2","Part X","Physics"
3,1,NSAA,2020,"Section 2","Part X","Physics"
4,1,NSAA,2020,"Section 2","Part X","Physics"
5,1.6,NSAA,2020,"Section 2","Part X","Physics"
6,2.3,NSAA,2020,"Section 2","Part X","Physics"
7,2.8,NSAA,2020,"Section 2","Part X","Physics"
8,3.4,NSAA,2020,"Section 2","Part X","Physics"
9,3.9,NSAA,2020,"Section 2","Part X","Physics"
10,4.4,NSAA,2020,"Section 2","Part X","Physics"
11,4.9,NSAA,2020,"Section 2","Part X","Physics"
12,5.4,NSAA,2020,"Section 2","Part X","Physics"
13,5.9,NSAA,2020,"Section 2","Part X","Physics"
14,6.5,NSAA,2020,"Section 2","Part X","Physics"
15,7.1,NSAA,2020,"Section 2","Part X","Physics"
16,7.7,NSAA,2020,"Section 2","Part X","Physics"
17,8.5,NSAA,2020,"Section 2","Part X","Physics"
18,9,NSAA,2020,"Section 2","Part X","Physics"
19,9,NSAA,2020,"Section 2","Part X","Physics"
20,9,NSAA,2020,"Section 2","Part X","Physics"
