raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2022,"Section 2","Part Y","Chemistry"
1,1,NSAA,2022,"Section 2","Part Y","Chemistry"
2,1,NSAA,2022,"Section 2","Part Y","Chemistry"
3,1.5,NSAA,2022,"Section 2","Part Y","Chemistry"
4,2.4,NSAA,2022,"Section 2","Part Y","Chemistry"
5,3.1,NSAA,2022,"Section 2","Part Y","Chemistry"
6,3.7,NSAA,2022,"Section 2","Part Y","Chemistry"
7,4.3,NSAA,2022,"Section 2","Part Y","Chemistry"
8,4.9,NSAA,2022,"Section 2","Part Y","Chemistry"
9,5.4,NSAA,2022,"Section 2","Part Y","Chemistry"
10,5.9,NSAA,2022,"Section 2","Part Y","Chemistry"
11,6.4,NSAA,2022,"Section 2","Part Y","Chemistry"
12,6.9,NSAA,2022,"Section 2","Part Y","Chemistry"
13,7.5,NSAA,2022,"Section 2","Part Y","Chemistry"
14,8,NSAA,2022,"Section 2","Part Y","Chemistry"
15,8.7,NSAA,2022,"Section 2","Part Y","Chemistry"
16,9,NSAA,2022,"Section 2","Part Y","Chemistry"
17,9,NSAA,2022,"Section 2","Part Y","Chemistry"
18,9,NSAA,2022,"Section 2","Part Y","Chemistry"
19,9,NSAA,2022,"Section 2","Part Y","Chemistry"
20,9,NSAA,2022,"Section 2","Part Y","Chemistry"
