raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2023,"Section 2","Part Z","Biology"
1,1,NSAA,2023,"Section 2","Part Z","Biology"
2,1,NSAA,2023,"Section 2","Part Z","Biology"
3,1,NSAA,2023,"Section 2","Part Z","Biology"
4,1,NSAA,2023,"Section 2","Part Z","Biology"
5,1.5,NSAA,2023,"Section 2","Part Z","Biology"
6,2.1,NSAA,2023,"Section 2","Part Z","Biology"
7,2.7,NSAA,2023,"Section 2","Part Z","Biology"
8,3.2,NSAA,2023,"Section 2","Part Z","Biology"
9,3.7,NSAA,2023,"Section 2","Part Z","Biology"
10,4.2,NSAA,2023,"Section 2","Part Z","Biology"
11,4.7,NSAA,2023,"Section 2","Part Z","Biology"
12,5.2,NSAA,2023,"Section 2","Part Z","Biology"
13,5.7,NSAA,2023,"Section 2","Part Z","Biology"
14,6.3,NSAA,2023,"Section 2","Part Z","Biology"
15,6.9,NSAA,2023,"Section 2","Part Z","Biology"
16,7.6,NSAA,2023,"Section 2","Part Z","Biology"
17,8.4,NSAA,2023,"Section 2","Part Z","Biology"
18,9,NSAA,2023,"Section 2","Part Z","Biology"
19,9,NSAA,2023,"Section 2","Part Z","Biology"
20,9,NSAA,2023,"Section 2","Part Z","Biology"
