raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2019,"Section 1","Part A","Mathematics"
1,1,NSAA,2019,"Section 1","Part A","Mathematics"
2,1,NSAA,2019,"Section 1","Part A","Mathematics"
3,1,NSAA,2019,"Section 1","Part A","Mathematics"
4,1,NSAA,2019,"Section 1","Part A","Mathematics"
5,1.1,NSAA,2019,"Section 1","Part A","Mathematics"
6,1.6,NSAA,2019,"Section 1","Part A","Mathematics"
7,2.1,NSAA,2019,"Section 1","Part A","Mathematics"
8,2.6,NSAA,2019,"Section 1","Part A","Mathematics"
9,3.1,NSAA,2019,"Section 1","Part A","Mathematics"
10,3.5,NSAA,2019,"Section 1","Part A","Mathematics"
11,4,NSAA,2019,"Section 1","Part A","Mathematics"
12,4.5,NSAA,2019,"Section 1","Part A","Mathematics"
13,5,NSAA,2019,"Section 1","Part A","Mathematics"
14,5.5,NSAA,2019,"Section 1","Part A","Mathematics"
15,6.2,NSAA,2019,"Section 1","Part A","Mathematics"
16,7,NSAA,2019,"Section 1","Part A","Mathematics"
17,8.3,NSAA,2019,"Section 1","Part A","Mathematics"
18,9,NSAA,2019,"Section 1","Part A","Mathematics"
