raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
1,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
2,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
3,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
4,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
5,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
6,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
7,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
8,1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
9,1.1,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
10,1.5,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
11,1.9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
12,2.3,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
13,2.8,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
14,3.2,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
15,3.6,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
16,4,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
17,4.4,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
18,4.9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
19,5.4,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
20,5.9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
21,6.4,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
22,7,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
23,7.7,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
24,8.4,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
25,9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
26,9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
27,9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
28,9,ENGAA,2016,"Section 1","Section 1A","Maths & Physics"
