raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2017,"Section 1","Part C","Chemistry"
1,1,NSAA,2017,"Section 1","Part C","Chemistry"
2,1,NSAA,2017,"Section 1","Part C","Chemistry"
3,1,NSAA,2017,"Section 1","Part C","Chemistry"
4,1,NSAA,2017,"Section 1","Part C","Chemistry"
5,1,NSAA,2017,"Section 1","Part C","Chemistry"
6,1.3,NSAA,2017,"Section 1","Part C","Chemistry"
7,1.9,NSAA,2017,"Section 1","Part C","Chemistry"
8,2.5,NSAA,2017,"Section 1","Part C","Chemistry"
9,3.1,NSAA,2017,"Section 1","Part C","Chemistry"
10,3.6,NSAA,2017,"Section 1","Part C","Chemistry"
11,4.2,NSAA,2017,"Section 1","Part C","Chemistry"
12,4.8,NSAA,2017,"Section 1","Part C","Chemistry"
13,5.5,NSAA,2017,"Section 1","Part C","Chemistry"
14,6.2,NSAA,2017,"Section 1","Part C","Chemistry"
15,7.1,NSAA,2017,"Section 1","Part C","Chemistry"
16,8.1,NSAA,2017,"Section 1","Part C","Chemistry"
17,9,NSAA,2017,"Section 1","Part C","Chemistry"
18,9,NSAA,2017,"Section 1","Part C","Chemistry"
