raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2017,"Section 1","Part A","Mathematics"
1,1,NSAA,2017,"Section 1","Part A","Mathematics"
2,1,NSAA,2017,"Section 1","Part A","Mathematics"
3,1,NSAA,2017,"Section 1","Part A","Mathematics"
4,1.6,NSAA,2017,"Section 1","Part A","Mathematics"
5,2.2,NSAA,2017,"Section 1","Part A","Mathematics"
6,2.7,NSAA,2017,"Section 1","Part A","Mathematics"
7,3.1,NSAA,2017,"Section 1","Part A","Mathematics"
8,3.6,NSAA,2017,"Section 1","Part A","Mathematics"
9,4,NSAA,2017,"Section 1","Part A","Mathematics"
10,4.4,NSAA,2017,"Section 1","Part A","Mathematics"
11,4.9,NSAA,2017,"Section 1","Part A","Mathematics"
12,5.3,NSAA,2017,"Section 1","Part A","Mathematics"
13,5.8,NSAA,2017,"Section 1","Part A","Mathematics"
14,6.4,NSAA,2017,"Section 1","Part A","Mathematics"
15,7,NSAA,2017,"Section 1","Part A","Mathematics"
16,7.8,NSAA,2017,"Section 1","Part A","Mathematics"
17,9,NSAA,2017,"Section 1","Part A","Mathematics"
18,9,NSAA,2017,"Section 1","Part A","Mathematics"
