raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
1,1,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
2,1,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
3,1.4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
4,2.1,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
5,2.8,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
6,3.4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
7,4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
8,4.5,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
9,5,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
10,5.4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
11,5.9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
12,6.4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
13,6.9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
14,7.4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
15,8,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
16,8.6,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
17,9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
18,9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
19,9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
20,9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
21,5.6,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
22,5.9,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
23,6.2,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
24,6.5,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
25,6.8,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
26,7.1,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
27,7.4,TMUA,2017,"Papers","Paper 2","Mathematical Reasoning"
