raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2016,"Papers","Overall","Both papers"
1,1,TMUA,2016,"Papers","Overall","Both papers"
2,1,TMUA,2016,"Papers","Overall","Both papers"
3,1,TMUA,2016,"Papers","Overall","Both papers"
4,1,TMUA,2016,"Papers","Overall","Both papers"
5,1,TMUA,2016,"Papers","Overall","Both papers"
6,1,TMUA,2016,"Papers","Overall","Both papers"
7,1.6,TMUA,2016,"Papers","Overall","Both papers"
8,2.1,TMUA,2016,"Papers","Overall","Both papers"
9,2.6,TMUA,2016,"Papers","Overall","Both papers"
10,3,TMUA,2016,"Papers","Overall","Both papers"
11,3.4,TMUA,2016,"Papers","Overall","Both papers"
12,3.8,TMUA,2016,"Papers","Overall","Both papers"
13,4.2,TMUA,2016,"Papers","Overall","Both papers"
14,4.5,TMUA,2016,"Papers","Overall","Both papers"
15,4.8,TMUA,2016,"Papers","Overall","Both papers"
16,5.2,TMUA,2016,"Papers","Overall","Both papers"
17,5.5,TMUA,2016,"Papers","Overall","Both papers"
18,5.8,TMUA,2016,"Papers","Overall","Both papers"
19,6.1,TMUA,2016,"Papers","Overall","Both papers"
20,6.4,TMUA,2016,"Papers","Overall","Both papers"
21,6.7,TMUA,2016,"Papers","Overall","Both papers"
22,7.1,TMUA,2016,"Papers","Overall","Both papers"
23,7.4,TMUA,2016,"Papers","Overall","Both papers"
24,7.7,TMUA,2016,"Papers","Overall","Both papers"
25,8,TMUA,2016,"Papers","Overall","Both papers"
26,8.3,TMUA,2016,"Papers","Overall","Both papers"
27,8.7,TMUA,2016,"Papers","Overall","Both papers"
28,9,TMUA,2016,"Papers","Overall","Both papers"
29,9,TMUA,2016,"Papers","Overall","Both papers"
30,9,TMUA,2016,"Papers","Overall","Both papers"
31,9,TMUA,2016,"Papers","Overall","Both papers"
32,9,TMUA,2016,"Papers","Overall","Both papers"
33,9,TMUA,2016,"Papers","Overall","Both papers"
34,9,TMUA,2016,"Papers","Overall","Both papers"
35,9,TMUA,2016,"Papers","Overall","Both papers"
36,9,TMUA,2016,"Papers","Overall","Both papers"
37,9,TMUA,2016,"Papers","Overall","Both papers"
38,9,TMUA,2016,"Papers","Overall","Both papers"
39,9,TMUA,2016,"Papers","Overall","Both papers"
40,9,TMUA,2016,"Papers","Overall","Both papers"
