raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
1,1,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
2,1,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
3,1,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
4,1.9,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
5,2.7,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
6,3.4,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
7,4,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
8,4.6,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
9,5.2,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
10,5.8,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
11,6.3,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
12,6.6,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
13,6.9,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
14,7.1,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
15,7.3,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
16,7.6,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
17,7.9,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
18,8.3,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
19,9,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
20,9,TMUA,2023,"Papers","Paper 1","Mathematical Thinking"
