raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2018,"Section 1","Part D","Biology"
1,1,NSAA,2018,"Section 1","Part D","Biology"
2,1,NSAA,2018,"Section 1","Part D","Biology"
3,1,NSAA,2018,"Section 1","Part D","Biology"
4,1.1,NSAA,2018,"Section 1","Part D","Biology"
5,1.8,NSAA,2018,"Section 1","Part D","Biology"
6,2.3,NSAA,2018,"Section 1","Part D","Biology"
7,2.9,NSAA,2018,"Section 1","Part D","Biology"
8,3.4,NSAA,2018,"Section 1","Part D","Biology"
9,3.9,NSAA,2018,"Section 1","Part D","Biology"
10,4.3,NSAA,2018,"Section 1","Part D","Biology"
11,4.8,NSAA,2018,"Section 1","Part D","Biology"
12,5.3,NSAA,2018,"Section 1","Part D","Biology"
13,5.9,NSAA,2018,"Section 1","Part D","Biology"
14,6.5,NSAA,2018,"Section 1","Part D","Biology"
15,7.3,NSAA,2018,"Section 1","Part D","Biology"
16,8.2,NSAA,2018,"Section 1","Part D","Biology"
17,9,NSAA,2018,"Section 1","Part D","Biology"
18,9,NSAA,2018,"Section 1","Part D","Biology"
