raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2020,"Section 1","Part B","Physics"
1,1,NSAA,2020,"Section 1","Part B","Physics"
2,1,NSAA,2020,"Section 1","Part B","Physics"
3,1,NSAA,2020,"Section 1","Part B","Physics"
4,1.8,NSAA,2020,"Section 1","Part B","Physics"
5,2.7,NSAA,2020,"Section 1","Part B","Physics"
6,3.4,NSAA,2020,"Section 1","Part B","Physics"
7,4.1,NSAA,2020,"Section 1","Part B","Physics"
8,4.7,NSAA,2020,"Section 1","Part B","Physics"
9,5.3,NSAA,2020,"Section 1","Part B","Physics"
10,5.9,NSAA,2020,"Section 1","Part B","Physics"
11,6.5,NSAA,2020,"Section 1","Part B","Physics"
12,7.1,NSAA,2020,"Section 1","Part B","Physics"
13,7.8,NSAA,2020,"Section 1","Part B","Physics"
14,8.4,NSAA,2020,"Section 1","Part B","Physics"
15,9,NSAA,2020,"Section 1","Part B","Physics"
16,9,NSAA,2020,"Section 1","Part B","Physics"
17,9,NSAA,2020,"Section 1","Part B","Physics"
18,9,NSAA,2020,"Section 1","Part B","Physics"
19,9,NSAA,2020,"Section 1","Part B","Physics"
20,9,NSAA,2020,"Section 1","Part B","Physics"
