raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
1,1,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
2,1,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
3,1,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
4,1,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
5,1.7,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
6,2.4,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
7,3,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
8,3.6,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
9,4.1,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
10,4.7,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
11,5.3,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
12,5.8,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
13,6.4,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
14,7,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
15,7.7,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
16,8.5,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
17,9,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
18,9,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
19,9,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
20,9,TMUA,2018,"Papers","Paper 1","Mathematical Thinking"
