raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
1,1,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
2,1,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
3,1,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
4,1.2,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
5,1.9,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
6,2.4,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
7,2.9,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
8,3.4,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
9,3.9,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
10,4.3,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
11,4.8,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
12,5.3,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
13,5.7,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
14,6.3,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
15,6.8,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
16,7.4,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
17,8.2,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
18,9,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
19,9,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
20,9,ENGAA,2023,"Section 1","Section 1A","Maths & Physics"
