raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2019,"Section 1","Part D","Biology"
1,1,NSAA,2019,"Section 1","Part D","Biology"
2,1,NSAA,2019,"Section 1","Part D","Biology"
3,1,NSAA,2019,"Section 1","Part D","Biology"
4,1.3,NSAA,2019,"Section 1","Part D","Biology"
5,2.1,NSAA,2019,"Section 1","Part D","Biology"
6,2.8,NSAA,2019,"Section 1","Part D","Biology"
7,3.5,NSAA,2019,"Section 1","Part D","Biology"
8,4.1,NSAA,2019,"Section 1","Part D","Biology"
9,4.6,NSAA,2019,"Section 1","Part D","Biology"
10,5.2,NSAA,2019,"Section 1","Part D","Biology"
11,5.8,NSAA,2019,"Section 1","Part D","Biology"
12,6.4,NSAA,2019,"Section 1","Part D","Biology"
13,7.1,NSAA,2019,"Section 1","Part D","Biology"
14,7.9,NSAA,2019,"Section 1","Part D","Biology"
15,8.7,NSAA,2019,"Section 1","Part D","Biology"
16,9,NSAA,2019,"Section 1","Part D","Biology"
17,9,NSAA,2019,"Section 1","Part D","Biology"
18,9,NSAA,2019,"Section 1","Part D","Biology"
